"Supplier","Price","SKU","Category","Product","Model","SKU Status","Quantities recommended",
"Boomerce"," 1,705","010123-085003","iPhone","iphone-14-pro256 GBExcellentSpace Black","iphone-14-pro","Free market","15",
"Boomerce"," 901","020445-048851","Laptop","dell-latitude-5590-core-i7-8th-gen-15.616 GBEnglish512 GB SSD","dell-latitude-5590","Free market","15",
"Boomerce"," 461","020443-038651","Laptop","dell-latitude-5490-core-i5-8th-gen-148 GBEnglish256 GB SSD","dell-latitude-5490","Free market","15",
"Boomerce"," 9,999","010241-121903","Samsung phone","galaxy-s23-ultra256GB - 8GBExcellentGreen","galaxy-s23-ultra","Free market","15",
"Boomerce"," 1,006","010122-070801","iPhone","iphone-14128 GBGoodPurple","iphone-14","Free market","15",
"Boomerce"," 592","010211-084203","Samsung phone","galaxy-s21256 GBExcellentPhantom Gray","galaxy-s21","Free market","14",
"Boomerce"," 380","020406-038551","Laptop","dell-latitude-5270-core-i5-6th-gen-12.58 GBEnglish128 GB SSD","dell-latitude-5270","Free market","14",
"Boomerce"," 99","06-835-00-76-302-00-00-00-00-07","Accessories","ugreen-10000mah-magnetic-wireless-power-bank-space-gray-PB561--Not Relevant-Space Grey---New","ugreen-10000mah-magnetic-wireless-power-bank-space-gray-PB561","Free market","14",
"Boomerce"," 1,580","010124-070501","iPhone","iphone-14-pro-max128 GBGoodSilver","iphone-14-pro-max","Free market","14",
"Boomerce"," 5","9899A8-000004","Accessories","case-iphone-13-blackNot relevantNewNot relevant","case-iphone-13-black","Free market","14",
"Boomerce"," 204","010101-070101","iPhone","iphone-7128 GBGoodBlack","iphone-7","Free market","14",
"Boomerce"," 704","010121-071102","iPhone","iphone-13-mini128 GBVery GoodBlue","iphone-13-mini","Free market","14",
"Boomerce"," 1,828","010127-08C403","iPhone","iphone-15-pro256 GBExcellentBlack Titanium","iphone-15-pro","Free market","14",
"Boomerce"," 1,956","010128-08C403","iPhone","iphone-15-pro-max256 GBExcellentBlack Titanium","iphone-15-pro-max","Free market","14",
"Boomerce"," 9,999","010109-060801","iPhone","iphone-1164 GBGoodPurple","iphone-11","Free market","14",
"Boomerce"," 1,272","010125-071403","iPhone","iphone-14-plus128 GBExcellentMidnight","iphone-14-plus","Free market","14",
"Boomerce"," 799","010114-071202","iPhone","iphone-12-pro128 GBVery GoodGraphite","iphone-12-pro","Free market","14",
